Restaurant	Address
Villa Alia	Mustikkamaankuja 1, 00570 Helsinki
Restaurant Royal Nepal Helsinki	Sturenkatu 32-34, 00550 Helsinki
Ristorante Momento REDI	Kyläsaarenkatu 25, 00580 Helsinki
Ravintola Mäkelän Kulma	Mäkelänkatu 45, 00550 Helsinki
Ravintola Käpygrilli	Osmontie 5, 00610 Helsinki
Hilton Kalastajatorppa Breakfast	Kalastajatorpantie 1, 00330 Helsinki
Restaurant Maharaja Lauttasaari	Särkiniementie 5, 00210 Helsinki
Old Durbar Käpylä	Koskelantie 5, 00610 Helsinki
Ravintola Rara	Korppaanmäentie 11, 00300 Helsinki
Ravintola Susav	Kultakruununkaari 1b, 00590 Helsinki
Kruunu Pizzeria	Koirasaarentie 50, 00590 Helsinki
Ambra Bar & Kitchen	Meripihkatie 1, 00710 Helsinki
Ravintola Herkku-Haarukka	Hämeentie 150, 00560 Helsinki
Thai Restaurant Meelom - Käpylä	Koskelantie 56, 00610 Helsinki
Malati	Postiljooninkatu 6, 00240 Helsinki
Iisi Bistro	Vallisaarentie 1, 00860 Helsinki
The Grill	Niittylänpolku 20, 00620 Helsinki
Satama Bar & Bistro Herttoniemi	Hitsaajankatu 22, 00810 Helsinki
Seurahuone Pub Herttoniemi	Hiihtomäentie 14c, 00810 Helsinki
Noodle Story Hertsi	Linnanrakentajantie 2, 00810 Helsinki
Akhanda Nepalilainen Ravintola	Valimotie 2, 00380 Helsinki
Sushisama	Kirkkoherrantie 8, 00650 Helsinki
El Torito Restaurant & Grill	Tammiontie 1, 00630 Helsinki
LoKal Food & Bar	Pukinmäenkaari 18, 00780 Helsinki
Ravintola Hansha	Takkatie 7, 00370 Helsinki
Mashiro Pukinmäki	Unikkotie 3, 00720 Helsinki
Restaurant Puksu Room	Pukinmäenaukio 4, 00720 Helsinki
Backyard	Itäkatu 1-5, 00930 Helsinki
Mashiro Viikki	Tilanhoitajankaari 6, 00790 Helsinki
Ravintola Thai Thai	Vilppulantie 2, 00700 Helsinki
Ravintola Fregatti	Valkopaadentie 1, 00980 Helsinki
Vapiano Itis	Itäkatu 1-7, 00930 Helsinki
Ravintola Nonla	Itäkatu 1-7, 00930 Helsinki
Ristorante Momento Itis	Itäkatu 1, 00930 Helsinki
Ravintola Sitara	Takoraudantie 2, 00700 Helsinki
"Bhatti ""Essence of Nepal"""	Kankiraudantie 1, 00700 Helsinki
Cafe Monami	Karavaanikatu 4, 00980 Helsinki
Ravintola Rubiini	Jousimiehentie 30, 00740 Helsinki
Ragazza Pasta Bar	Kahvipavunkuja 2, 00990 Helsinki
Hungry Hub Vuosaari	Vuotie 47b, 00990 Helsinki
Ravintola Mayur	Aurinkoranta 8, 00990 Helsinki
Il Treno	Pallaksentie 4, 00970 Helsinki
